abstention_reason,branch,burst_count,capture_id,class_probability,decision_window_id,evaluation_domain,final_decision,predicted_class,true_physical_unit_id,window_duration_s
,engineered_rf,371,BLE-IQ-01c764a99574,0.9873417721518988,BLE-IQ-01c764a99574-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,85,BLE-IQ-02d5d29ec622,1.0,BLE-IQ-02d5d29ec622-decision-win-00000,TRAIN,IDENTIFIED,CC2541SensorTag,CC2541SensorTag,10.0
,engineered_rf,367,BLE-IQ-02d5d29ec622,0.967391304347826,BLE-IQ-02d5d29ec622-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,120,BLE-IQ-0af07d179681,0.45549738219895286,BLE-IQ-0af07d179681-decision-win-00000,,UNKNOWN,keyfobdemo 01,,10.0
,engineered_rf,25,BLE-IQ-0af07d179681,0.4536082474226804,BLE-IQ-0af07d179681-decision-win-00001,,UNKNOWN,CC2541SensorTag,,10.0
,engineered_rf,83,BLE-IQ-0b2c57ffeba2,0.9696969696969697,BLE-IQ-0b2c57ffeba2-decision-win-00000,TRAIN,IDENTIFIED,keyfobdemo 02,keyfobdemo 02,10.0
,engineered_rf,390,BLE-IQ-0b2c57ffeba2,0.89937106918239,BLE-IQ-0b2c57ffeba2-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,247,BLE-IQ-0c21c534aa64,0.5148514851485149,BLE-IQ-0c21c534aa64-decision-win-00000,,UNKNOWN,keyfobdemo 01,,10.0
,engineered_rf,123,BLE-IQ-0c21c534aa64,1.0,BLE-IQ-0c21c534aa64-decision-win-00000,TRAIN,IDENTIFIED,keyfobdemo 02,keyfobdemo 02,10.0
,engineered_rf,437,BLE-IQ-0dc7090bd405,0.967032967032967,BLE-IQ-0dc7090bd405-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,403,BLE-IQ-0eefc905375d,0.7678571428571428,BLE-IQ-0eefc905375d-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,359,BLE-IQ-0ef2315db2b6,0.9468085106382979,BLE-IQ-0ef2315db2b6-decision-win-00000,TEST,IDENTIFIED,keyfobdemo 01,keyfobdemo 01,10.0
,engineered_rf,360,BLE-IQ-12d849d8cb18,0.859375,BLE-IQ-12d849d8cb18-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,110,BLE-IQ-198c7bd0fc5b,0.49729729729729727,BLE-IQ-198c7bd0fc5b-decision-win-00000,,UNKNOWN,keyfobdemo 01,,10.0
,engineered_rf,77,BLE-IQ-1bc792665700,0.65,BLE-IQ-1bc792665700-decision-win-00000,VALIDATION,UNKNOWN,keyfobdemo 01,keyfobdemo 02,10.0
,engineered_rf,222,BLE-IQ-1bc792665700,0.9896907216494846,BLE-IQ-1bc792665700-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,279,BLE-IQ-1c807826ca1b,0.8734177215189873,BLE-IQ-1c807826ca1b-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,109,BLE-IQ-1c807826ca1b,1.0,BLE-IQ-1c807826ca1b-decision-win-00000,TRAIN,IDENTIFIED,keyfobdemo 02,keyfobdemo 02,10.0
,engineered_rf,103,BLE-IQ-20822a823295,0.3793103448275863,BLE-IQ-20822a823295-decision-win-00000,,UNKNOWN,CC2541SensorTag,SHELLY-PLUG-01,10.0
,engineered_rf,109,BLE-IQ-20822a823295,0.3548387096774194,BLE-IQ-20822a823295-decision-win-00001,,UNKNOWN,CC2541SensorTag,SHELLY-PLUG-01,10.0
,engineered_rf,107,BLE-IQ-20822a823295,0.37894736842105264,BLE-IQ-20822a823295-decision-win-00002,,UNKNOWN,CC2541SensorTag,SHELLY-PLUG-01,10.0
,engineered_rf,349,BLE-IQ-22cd25e31f1d,0.9462365591397849,BLE-IQ-22cd25e31f1d-decision-win-00000,,IDENTIFIED,keyfobdemo 01,,10.0
,engineered_rf,97,BLE-IQ-22cd25e31f1d,1.0,BLE-IQ-22cd25e31f1d-decision-win-00000,TRAIN,IDENTIFIED,CC2650-UNIT-01,CC2650-UNIT-01,10.0
