evaluation_domain,evidence_maturity,coverage,selective_error,threshold,n_decided,n_abstained
TEST,CURRENT_TEST,0.25,0.0,1.0,3,9
TEST,CURRENT_TEST,0.3333333333333333,0.0,0.978021978021978,4,8
TEST,CURRENT_TEST,0.4166666666666667,0.0,0.9690721649484536,5,7
TEST,CURRENT_TEST,0.5,0.0,0.9468085106382979,6,6
TEST,CURRENT_TEST,0.5833333333333334,0.0,0.93,7,5
TEST,CURRENT_TEST,0.6666666666666666,0.0,0.8125000000000001,8,4
TEST,CURRENT_TEST,0.75,0.0,0.8102564102564103,9,3
TEST,CURRENT_TEST,0.8333333333333334,0.0,0.7945945945945946,10,2
TEST,CURRENT_TEST,0.9166666666666666,0.09090909090909091,0.64,11,1
TEST,CURRENT_TEST,1.0,0.08333333333333333,0.5524861878453039,12,0
TRAIN,CURRENT_TEST,0.8823529411764706,0.0,1.0,30,4
TRAIN,CURRENT_TEST,0.9117647058823529,0.0,0.98989898989899,31,3
TRAIN,CURRENT_TEST,0.9411764705882353,0.0,0.9797979797979798,32,2
TRAIN,CURRENT_TEST,1.0,0.0,0.9696969696969697,34,0
VALIDATION,CURRENT_TEST,0.08333333333333333,0.0,0.9191919191919192,1,11
VALIDATION,CURRENT_TEST,0.16666666666666666,0.0,0.91,2,10
VALIDATION,CURRENT_TEST,0.25,0.0,0.89,3,9
VALIDATION,CURRENT_TEST,0.3333333333333333,0.0,0.8478260869565217,4,8
VALIDATION,CURRENT_TEST,0.4166666666666667,0.0,0.8287292817679558,5,7
VALIDATION,CURRENT_TEST,0.5,0.16666666666666666,0.78,6,6
VALIDATION,CURRENT_TEST,0.5833333333333334,0.14285714285714285,0.7676767676767677,7,5
VALIDATION,CURRENT_TEST,0.6666666666666666,0.125,0.7422680412371134,8,4
VALIDATION,CURRENT_TEST,0.75,0.1111111111111111,0.7227722772277227,9,3
VALIDATION,CURRENT_TEST,0.8333333333333334,0.1,0.6808510638297872,10,2
VALIDATION,CURRENT_TEST,0.9166666666666666,0.18181818181818182,0.65,11,1
VALIDATION,CURRENT_TEST,1.0,0.16666666666666666,0.62,12,0
