capture_id,physical_unit_id,day_id,channel
BLE-IQ-02d5d29ec622,,2026-07-31,37
BLE-IQ-0b2c57ffeba2,,2026-07-31,37
BLE-IQ-0c21c534aa64,,2026-07-30,37
BLE-IQ-0dc7090bd405,,2026-07-31,38
BLE-IQ-0ef2315db2b6,,2026-07-29,37
BLE-IQ-1bc792665700,,2026-07-29,37
BLE-IQ-1c807826ca1b,,2026-07-30,37
BLE-IQ-22cd25e31f1d,,2026-07-31,37
BLE-IQ-24d07299a976,,2026-07-30,37
BLE-IQ-25440dd44364,,2026-07-31,37
BLE-IQ-29c22e016758,,2026-07-31,37
BLE-IQ-2dce171bfad5,,2026-07-31,38
BLE-IQ-2f1141aa01db,,2026-07-30,37
BLE-IQ-2f58583a2800,,2026-07-28,37
BLE-IQ-34ea17e90523,,2026-07-29,37
BLE-IQ-3b50e0d037bf,,2026-07-31,38
BLE-IQ-3f68fa24ba01,,2026-07-30,37
BLE-IQ-4455f452717d,,2026-07-29,37
BLE-IQ-44f1cf57882e,,2026-07-30,37
BLE-IQ-45eb6599efb3,,2026-07-31,38
BLE-IQ-4e640e6fe707,,2026-07-29,37
BLE-IQ-56bd28663237,,2026-07-28,37
BLE-IQ-58b612105939,,2026-07-29,37
BLE-IQ-5c559e4b6901,,2026-07-30,37
BLE-IQ-6076ce92284f,,2026-07-29,37
BLE-IQ-67d4a6315f26,,2026-07-30,37
BLE-IQ-683d5a09b159,,2026-07-30,37
BLE-IQ-6be58cb10adb,,2026-07-29,37
BLE-IQ-6db3f8559c73,,2026-07-31,38
BLE-IQ-6f0868e3396d,,2026-07-31,38
BLE-IQ-7577ae25b158,,2026-07-30,37
BLE-IQ-7adc69bdefe6,,2026-07-31,38
BLE-IQ-7b003a34f9ae,,2026-07-31,37
BLE-IQ-7e17d7b4fe8b,,2026-07-28,37
BLE-IQ-88535ea7870d,,2026-07-31,37
BLE-IQ-8892eb606635,,2026-07-30,37
BLE-IQ-88ff6ca3412e,,2026-07-31,37
BLE-IQ-896f762b01fd,,2026-07-29,37
BLE-IQ-8a14fcc45a6d,,2026-07-29,37
BLE-IQ-8ade1f141f45,,2026-07-30,37
BLE-IQ-8b3555873373,,2026-07-31,38
BLE-IQ-94691883d04e,,2026-07-31,38
BLE-IQ-98ba82ed706e,,2026-07-31,38
BLE-IQ-9c8a65846b76,,2026-07-31,37
BLE-IQ-9f17d1880d5b,,2026-07-31,37
BLE-IQ-a0e8f79f3d30,,2026-07-31,37
BLE-IQ-a14d490664e7,,2026-07-30,37
BLE-IQ-a7aeed27d93c,,2026-07-31,38
BLE-IQ-aa9e327cee83,,2026-07-31,37
BLE-IQ-aae76c91c597,,2026-07-30,37
BLE-IQ-ac2d5dcf0501,,2026-07-31,37
BLE-IQ-ae4ef898bdec,,2026-07-31,37
BLE-IQ-b07c0ff4f11b,,2026-07-30,37
BLE-IQ-b19a317bff1a,,2026-07-30,37
BLE-IQ-b19e005e4f5a,,2026-07-30,37
BLE-IQ-b88942a33035,,2026-07-31,38
BLE-IQ-ba04aa2acb7f,,2026-07-29,37
BLE-IQ-ba2d9c0f6f78,,2026-07-29,37
BLE-IQ-bf41b00049dc,,2026-07-30,37
BLE-IQ-bfc747fa3333,,2026-07-31,38
BLE-IQ-c08616ecb1dd,,2026-07-31,38
BLE-IQ-c273afc4cdad,,2026-07-31,37
BLE-IQ-c55e073b572e,,2026-07-31,37
BLE-IQ-c77228bbfffc,,2026-07-28,37
BLE-IQ-c7e03dc56c62,,2026-07-30,37
BLE-IQ-cc8786d5a77a,,2026-07-31,38
BLE-IQ-d606aa540a05,,2026-07-30,37
BLE-IQ-d60791d20ade,,2026-07-31,38
BLE-IQ-d6d49892e716,,2026-07-31,38
BLE-IQ-e92e34919c88,,2026-07-30,37
BLE-IQ-ea3ede759930,,2026-07-31,37
BLE-IQ-f0d523ed1e98,,2026-07-31,38
BLE-IQ-f206b4f24414,,2026-07-28,37
BLE-IQ-f4bc64dca9fa,,2026-07-28,37
BLE-IQ-f85fc01f90b8,,2026-07-28,37
BLE-IQ-f86894c6a797,,2026-07-31,38
BLE-IQ-fb8a59709fd6,,2026-07-31,38
BLE-IQ-fc2b4eeac0c6,,2026-07-31,37
BLE-IQ-fcb42b06955c,,2026-07-31,38
