receiver_epoch,boundary_reason,n_captures,day_ids,channels,physical_units
identity-26fb3626f6b118e3-session-001,SAME_SESSION_AS_PREVIOUS,18,2026-07-28,37,"CC2541SensorTag,keyfobdemo 01"
identity-26fb3626f6b118e3-session-002,SAME_SESSION_AS_PREVIOUS,21,2026-07-29,37,"keyfobdemo 01,keyfobdemo 02"
identity-26fb3626f6b118e3-session-003,SAME_SESSION_AS_PREVIOUS,37,2026-07-30,37,"CC2541SensorTag,CC2650-UNIT-01,SHELLY-PLUG-01,keyfobdemo 01,keyfobdemo 02"
identity-26fb3626f6b118e3-session-004,SAME_SESSION_AS_PREVIOUS,3,2026-07-31,38,keyfobdemo 01
identity-26fb3626f6b118e3-session-005,SAME_SESSION_AS_PREVIOUS,36,2026-07-31,"37,38","CC2541SensorTag,CC2650-UNIT-01,keyfobdemo 01,keyfobdemo 02"
identity-26fb3626f6b118e3-session-006,SESSION_GAP_EXCEEDED,15,2026-08-01,37,SHELLY-PLUG-01
identity-26fb3626f6b118e3-session-007,SAME_SESSION_AS_PREVIOUS,10,2026-08-03,37,SHELLY-PLUG-01
identity-26fb3626f6b118e3-session-008,SESSION_GAP_EXCEEDED,1,2026-08-07,37,SHELLY-PLUG-01
identity-26fb3626f6b118e3-session-009,SAME_SESSION_AS_PREVIOUS,2,2026-08-07,37,"CC2541SensorTag,SHELLY-PLUG-01"
identity-26fb3626f6b118e3-session-010,SESSION_GAP_EXCEEDED,1,2026-08-07,37,SHELLY-PLUG-01
identity-26fb3626f6b118e3-session-011,SESSION_GAP_EXCEEDED,2,2026-08-13,37,HW-QUAL-PROBE-01
identity-26fb3626f6b118e3-session-012,SAME_SESSION_AS_PREVIOUS,4,2026-08-13,"37,38,39",SHELLY-PLUG-01
