physical_unit_pseudonym,physical_unit_id,session_id,n_examples,recall,accuracy,median_correct_class_score,top_competing_class,top_competing_class_share,median_amplitude_kurtosis,median_amplitude_skewness,median_cfo_estimate_hz,median_mean_abs_amplitude,median_mean_power_dbfs,median_papr_db,median_spectral_bandwidth_hz,median_spectral_centroid_hz,median_std_abs_amplitude,median_std_power_db
TX-01,CC2541SensorTag,BLE-HYBRID-20260730T132022Z-faeed5,87,0.9195402298850575,0.9195402298850575,0.62,keyfobdemo 02,0.04597701149425287,10.948843955993652,-3.554882764816284,51770.01171875,0.04616369307041168,-26.508062653664368,0.8125641173032259,559400.0751783965,27155.760625684445,0.010051230899989605,7.29597806930542
TX-01,CC2541SensorTag,BLE-HYBRID-20260730T132109Z-fec5ba,100,0.66,0.66,0.75,keyfobdemo 02,0.22,0.03795313835144043,-0.1030329130589962,21619.896484375,0.018424710258841515,-34.64897129401946,0.8698027595691005,543126.3385544617,42294.374517216325,0.0013430905528366566,1.662498116493225
TX-03,keyfobdemo 01,BLE-HYBRID-20260728T134223Z-29d19e,313,0.6293929712460063,0.6293929712460063,0.64,keyfobdemo 02,0.25559105431309903,-0.001802682876586914,-0.008266190066933632,5792.541015625,0.0035846629180014133,-48.87527522598095,2.3084951948218015,548800.5276642764,8319.522024008578,0.00033179676393046975,1.3075145483016968
TX-03,keyfobdemo 01,BLE-HYBRID-20260728T134257Z-82522b,351,0.8717948717948718,0.8717948717948718,0.73,CC2541SensorTag,0.08547008547008547,0.1843552589416504,-0.06684183329343796,6543.06982421875,0.012514172121882439,-37.94128824447235,1.5936816799177422,564547.4986083738,6527.161790095671,0.0007640852709300816,1.1443071365356445
TX-03,keyfobdemo 01,BLE-HYBRID-20260728T134346Z-708d73,340,0.8058823529411765,0.8058823529411765,0.76,CC2541SensorTag,0.11470588235294117,-0.03914165496826172,0.007333784829825163,6568.241943359375,0.005528249312192202,-45.0977232726563,1.8934430014644583,564562.1231921228,14833.032781025886,0.0004050631250720471,0.73018878698349
TX-03,keyfobdemo 01,BLE-HYBRID-20260728T134434Z-a1522c,339,0.8259587020648967,0.8259587020648967,0.78,CC2541SensorTag,0.10619469026548672,0.06147956848144531,-0.059520915150642395,6605.7724609375,0.01527330931276083,-36.08834286183105,1.5483015523553791,551588.0536774092,6807.731106105949,0.0007516712066717446,1.9036450386047363
TX-03,keyfobdemo 01,BLE-HYBRID-20260728T134507Z-413268,347,0.8328530259365994,0.8328530259365994,0.72,CC2541SensorTag,0.14697406340057637,0.04188704490661621,-0.03364989534020424,6734.4677734375,0.029592229053378105,-30.538670557427345,1.3304332157468632,544858.3446753605,12308.99631982752,0.0007588367443531752,1.4704487323760986
TX-04,keyfobdemo 02,BLE-HYBRID-20260729T141323Z-055798,83,0.012048192771084338,0.012048192771084338,0.21,keyfobdemo 01,0.9879518072289156,-0.02154850959777832,-0.005621853284537792,30501.609375,0.003298969939351082,-49.58395573833884,2.4288379352231724,622628.8704688089,39888.315865426965,0.0003495138371363282,0.9334872961044312
TX-04,keyfobdemo 02,BLE-HYBRID-20260729T141457Z-c5b022,77,0.0,0.0,0.27,keyfobdemo 01,1.0,-0.06835556030273438,0.0496450699865818,30522.27734375,0.006486187223345041,-43.741497766425745,1.5467559852618646,592299.2880166717,40305.47728199818,0.00039749022107571363,0.5351846218109131
TX-05,CC2650-UNIT-01,BLE-HYBRID-20260730T132508Z-e26c0b,95,0.9157894736842105,0.9157894736842105,0.89,keyfobdemo 02,0.07368421052631578,19.188615798950195,-4.558266639709473,-32289.015625,0.02105008438229561,-33.48989807435488,0.7935441801262398,557799.4884914838,-19227.372184778003,0.001301509328186512,2.6194941997528076
TX-05,CC2650-UNIT-01,BLE-HYBRID-20260730T134110Z-96da87,24,1.0,1.0,0.91,,0.0,23.195637702941895,-4.987730026245117,-30777.7939453125,0.10455184057354927,-19.551845877861787,0.7426079775469814,557147.986528127,-28092.929329972096,0.01425224682316184,6.722270965576172
TX-05,CC2650-UNIT-01,BLE-HYBRID-20260730T134310Z-5bc966,47,1.0,1.0,0.91,,0.0,19.45639991760254,-4.60232400894165,-32414.947265625,0.06771259009838104,-23.313838663935066,0.6921127900849905,557746.3959545427,-25882.86283484837,0.008213108405470848,5.382125377655029
